,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
66,65,29/03/2020,,,Recovered,,,Delhi,,,Opening Data as of Mar 29,,,,,,,,,,
67,66,29/03/2020,,,Recovered,,,Delhi,,,Opening Data as of Mar 29,,,,,,,,,,
68,67,29/03/2020,,,Recovered,,,Delhi,,,Opening Data as of Mar 29,,,,,,,,,,
69,68,29/03/2020,,,Death,,,Delhi,,,Opening Data as of Mar 29,,,,,,,,,,
70,69,29/03/2020,,,Death,,,Delhi,,,Opening Data as of Mar 29,,,,,,,,,,
71,70,29/03/2020,,,Recovered,,,Uttar Pradesh,,,Opening Data as of Mar 29,,,,,,,,,,
72,71,29/03/2020,,,Recovered,,,Uttar Pradesh,,,Opening Data as of Mar 29,,,,,,,,,,
73,72,29/03/2020,,,Recovered,,,Uttar Pradesh,,,Opening Data as of Mar 29,,,,,,,,,,
74,73,29/03/2020,,,Recovered,,,Uttar Pradesh,,,Opening Data as of Mar 29,,,,,,,,,,
75,74,29/03/2020,,,Recovered,,,Uttar Pradesh,,,Opening Data as of Mar 29,,,,,,,,,,
76,75,29/03/2020,,,Recovered,,,Uttar Pradesh,,,Opening Data as of Mar 29,,,,,,,,,,
77,76,29/03/2020,,,Recovered,,,Uttar Pradesh,,,Opening Data as of Mar 29,,,,,,,,,,
78,77,29/03/2020,,,Recovered,,,Uttar Pradesh,,,Opening Data as of Mar 29,,,,,,,,,,
79,78,29/03/2020,,,Recovered,,,Uttar Pradesh,,,Opening Data as of Mar 29,,,,,,,,,,
80,79,29/03/2020,,,Recovered,,,Uttar Pradesh,,,Opening Data as of Mar 29,,,,,,,,,,
81,80,29/03/2020,,,Recovered,,,Uttar Pradesh,,,Opening Data as of Mar 29,,,,,,,,,,
82,81,29/03/2020,,,Recovered,,,Telangana,,,Opening Data as of Mar 29,,,,,,,,,,
83,82,29/03/2020,,,Death,,,Telangana,,,Opening Data as of Mar 29,,,,,,,,,,
84,83,29/03/2020,,,Death,,,Gujarat,,,Opening Data as of Mar 29,,,,,,,,,,
85,84,29/03/2020,,,Death,,,Gujarat,,,Opening Data as of Mar 29,,,,,,,,,,
86,85,29/03/2020,,,Death,,,Gujarat,,,Opening Data as of Mar 29,,,,,,,,,,
87,86,29/03/2020,,,Death,,,Gujarat,,,Opening Data as of Mar 29,,,,,,,,,,
88,87,29/03/2020,,,Death,,,Gujarat,,,Opening Data as of Mar 29,,,,,,,,,,
89,88,29/03/2020,,,Recovered,,,Gujarat,,,Opening Data as of Mar 29,,,,,,,,,,
90,89,29/03/2020,,,Recovered,,,Rajasthan,,,Opening Data as of Mar 29,,,,,,,,,,
91,90,29/03/2020,,,Recovered,,,Rajasthan,,,Opening Data as of Mar 29,,,,,,,,,,
92,91,29/03/2020,,,Recovered,,,Rajasthan,,,Opening Data as of Mar 29,,,,,,,,,,
93,92,29/03/2020,,,Recovered,,,Tamil Nadu,,,Opening Data as of Mar 29,,,,,,,,,,
94,93,29/03/2020,,,Recovered,,,Tamil Nadu,,,Opening Data as of Mar 29,,,,,,,,,,
95,94,29/03/2020,,,Recovered,,,Tamil Nadu,,,Opening Data as of Mar 29,,,,,,,,,,
96,95,29/03/2020,,,Recovered,,,Tamil Nadu,,,Opening Data as of Mar 29,,,,,,,,,,
97,96,29/03/2020,,,Death,,,Tamil Nadu,,,Opening Data as of Mar 29,,,,,,,,,,
98,97,29/03/2020,,,Death,,,Madhya Pradesh,,,Opening Data as of Mar 29,,,,,,,,,,
99,98,29/03/2020,,,Death,,,Madhya Pradesh,,,Opening Data as of Mar 29,,,,,,,,,,
100,99,29/03/2020,,,Recovered,,,Jammu and Kashmir,,,Opening Data as of Mar 29,,,,,,,,,,
101,100,29/03/2020,,,Death,,,Jammu and Kashmir,,,Opening Data as of Mar 29,,,,,,,,,,
102,101,29/03/2020,,,Recovered,,,Punjab,,,Opening Data as of Mar 29,,,,,,,,,,
103,102,29/03/2020,,,Death,,,Punjab,,,Opening Data as of Mar 29,,,,,,,,,,
104,103,29/03/2020,,,Recovered,,,Haryana,,,Opening Data as of Mar 29,,,,,,,,,,
105,104,29/03/2020,,,Recovered,,,Haryana,,,Opening Data as of Mar 29,,,,,,,,,,
106,105,29/03/2020,,,Recovered,,,Haryana,,,Opening Data as of Mar 29,,,,,,,,,,
107,106,29/03/2020,,,Recovered,,,Haryana,,,Opening Data as of Mar 29,,,,,,,,,,
108,107,29/03/2020,,,Recovered,,,Haryana,,,Opening Data as of Mar 29,,,,,,,,,,
109,108,29/03/2020,,,Recovered,,,Haryana,,,Opening Data as of Mar 29,,,,,,,,,,
110,109,29/03/2020,,,Recovered,,,Haryana,,,Opening Data as of Mar 29,,,,,,,,,,
111,110,29/03/2020,,,Recovered,,,Haryana,,,Opening Data as of Mar 29,,,,,,,,,,
112,111,29/03/2020,,,Recovered,,,Haryana,,,Opening Data as of Mar 29,,,,,,,,,,
113,112,29/03/2020,,,Recovered,,,Haryana,,,Opening Data as of Mar 29,,,,,,,,,,
114,113,29/03/2020,,,Recovered,,,Haryana,,,Opening Data as of Mar 29,,,,,,,,,,
115,114,29/03/2020,,,Recovered,,,Haryana,,,Opening Data as of Mar 29,,,,,,,,,,
116,115,29/03/2020,,,Recovered,,,Haryana,,,Opening Data as of Mar 29,,,,,,,,,,
117,116,29/03/2020,,,Recovered,,,Haryana,,,Opening Data as of Mar 29,,,,,,,,,,
118,117,29/03/2020,,,Recovered,,,Haryana,,,Opening Data as of Mar 29,,,,,,,,,,
119,118,29/03/2020,,,Recovered,,,Haryana,,,Opening Data as of Mar 29,,,,,,,,,,
120,119,29/03/2020,,,Recovered,,,Haryana,,,Opening Data as of Mar 29,,,,,,,,,,
121,120,29/03/2020,,,Recovered,,,Andhra Pradesh,,,Opening Data as of Mar 29,,,,,,,,,,
122,121,29/03/2020,,,Death,,,West Bengal,,,Opening Data as of Mar 29,,,,,,,,,,
123,122,29/03/2020,,,Death,,,Bihar,,,Opening Data as of Mar 29,,,,,,,,,,
124,123,29/03/2020,,,Recovered,,,Ladakh,,,Opening Data as of Mar 29,,,,,,,,,,
125,124,29/03/2020,,,Recovered,,,Ladakh,,,Opening Data as of Mar 29,,,,,,,,,,
126,125,29/03/2020,,,Recovered,,,Ladakh,,,Opening Data as of Mar 29,,,,,,,,,,
127,126,29/03/2020,,,Recovered,,,Uttarakhand,,,Opening Data as of Mar 29,,,,,,,,,,
128,127,29/03/2020,,,Recovered,,,Uttarakhand,,,Opening Data as of Mar 29,,,,,,,,,,
129,128,29/03/2020,,,Recovered,,,Himachal Pradesh,,,Opening Data as of Mar 29,,,,,,,,,,
130,129,29/03/2020,,,Death,,,Himachal Pradesh,,,Opening Data as of Mar 29,,,,,,,,,,
131,129,30/03/2020,,,Death,,,West Bengal,As per PTI,,https://twitter.com/PTI_News/status/1244467615549931521?s=19,,,,,,,,,,
132,129,30/03/2020,45,,Death,,,Gujarat,As per PTI,,https://twitter.com/PTI_News/status/1244495961319067648?s=20,,,,,,,,,,
133,129,,,,,,,,,,,,,,,,,,,,
134,129,,,,,,,,,,,,,,,,,,,,
135,129,,,,,,,,,,,,,,,,,,,,
136,129,,,,,,,,,,,,,,,,,,,,
137,129,,,,,,,,,,,,,,,,,,,,
138,129,,,,,,,,,,,,,,,,,,,,
139,129,,,,,,,,,,,,,,,,,,,,
140,129,,,,,,,,,,,,,,,,,,,,
141,129,,,,,,,,,,,,,,,,,,,,
142,129,,,,,,,,,,,,,,,,,,,,
143,129,,,,,,,,,,,,,,,,,,,,
144,129,,,,,,,,,,,,,,,,,,,,
145,129,,,,,,,,,,,,,,,,,,,,
146,129,,,,,,,,,,,,,,,,,,,,
147,129,,,,,,,,,,,,,,,,,,,,
148,129,,,,,,,,,,,,,,,,,,,,
149,129,,,,,,,,,,,,,,,,,,,,
150,129,,,,,,,,,,,,,,,,,,,,
151,129,,,,,,,,,,,,,,,,,,,,
152,129,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,,,,
344,,,,,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,,,,
351,,,,,,,,,,,,,,,,,,,,,
352,,,,,,,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,,,,,
367,,,,,,,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,,,,,,,
374,,,,,,,,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,,,,,
376,,,,,,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,,,,
381,,,,,,,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,,,,,,
384,,,,,,,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,,,,,
387,,,,,,,,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,,,,,
406,,,,,,,,,,,,,,,,,,,,,
407,,,,,,,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,,,,,,,
412,,,,,,,,,,,,,,,,,,,,,
413,,,,,,,,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,,,,,,,,
415,,,,,,,,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,,,,,,,,
417,,,,,,,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,,,,,,,
425,,,,,,,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,,,,,
436,,,,,,,,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,,,,,
